row,split
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,test
10,train
11,test
12,train
13,test
14,train
15,train
16,test
17,train
18,test
19,train
20,train
21,train
22,train
23,train
24,test
25,test
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,test
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,test
50,train
51,train
52,train
53,train
54,train
55,test
56,train
57,train
58,train
59,train
60,test
61,train
62,test
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,test
83,train
84,train
85,train
86,train
87,train
88,train
89,test
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,test
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,test
106,train
107,train
108,train
109,train
110,train
111,train
112,test
113,train
114,train
115,train
116,train
117,test
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,test
126,test
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,test
139,test
140,train
141,test
142,train
143,train
144,train
145,test
146,train
147,train
148,test
149,train
150,train
151,train
152,test
153,test
154,train
155,test
156,train
157,train
158,train
159,test
160,train
161,test
162,test
163,test
164,train
165,train
166,test
167,train
168,train
169,train
170,train
171,train
172,train
173,train
174,test
175,train
176,train
177,train
178,train
179,test
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,test
189,train
190,test
191,test
192,train
193,train
194,test
195,train
196,test
197,train
198,test
199,train
200,train
201,train
202,test
203,test
204,train
205,test
206,test
207,test
208,test
209,train
210,train
211,train
212,train
213,train
214,test
215,train
216,test
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,test
228,train
229,train
230,train
231,train
232,train
233,test
234,train
235,test
236,test
237,test
238,train
239,train
240,train
241,train
242,train
243,test
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,test
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,train
